date,internal_temperature,temperature,light
2015-03-05 20:17:49,23.9,9.5,0.0
2015-03-05 21:17:49,23.9,8.9,0.0
2015-03-05 22:17:55,23.4,8.6,0.0
2015-03-05 23:17:56,22.9,7.4,0.0
2015-03-06 00:17:55,22.3,6.6,0.0
2015-03-06 01:17:55,21.8,5.7,0.0
2015-03-06 02:17:55,20.7,5.0,0.0
2015-03-06 03:17:55,20.7,4.5,0.0
2015-03-06 04:17:55,19.6,3.9,0.0
2015-03-06 05:17:55,19.1,3.4,0.0
2015-03-06 06:17:55,19.1,3.4,87.5
2015-03-06 07:17:55,20.7,4.9,299.166666666667
2015-03-06 08:17:06,22.3,6.6,417.5
2015-03-06 09:17:06,23.4,8.6,511.666666666667
2015-03-06 10:17:06,25.0,10.6,510.0
2015-03-06 11:17:06,46.0,20.7,2003.33333333333
2015-03-06 12:17:07,44.4,30.9,9262.5
2015-03-06 13:17:06,47.6,31.7,9696.66666666667
2015-03-06 14:17:06,47.6,29.4,6024.16666666667
2015-03-06 15:17:07,30.9,16.3,495.833333333334
2015-03-06 16:17:06,29.3,14.7,234.166666666667
2015-03-06 17:17:06,28.2,13.3,20.0
2015-03-06 18:17:55,27.2,12.2,0.0
2015-03-06 19:17:55,27.2,11.2,0.0
